"day_of_week","day_order","hour_of_day","accepted_users","completed_users","dropoff_rate"
Monday,1,0,136,126,0.074
Monday,1,1,157,144,0.083
Monday,1,2,146,134,0.082
Monday,1,3,131,117,0.107
Monday,1,4,119,104,0.126
Monday,1,5,160,146,0.088
Monday,1,6,141,121,0.142
Monday,1,7,153,140,0.085
Monday,1,8,4135,3600,0.129
Monday,1,9,4159,3639,0.125
Monday,1,10,755,664,0.121
Monday,1,11,728,654,0.102
Monday,1,12,716,632,0.117
Monday,1,13,650,577,0.112
Monday,1,14,682,602,0.117
Monday,1,15,691,629,0.090
Monday,1,16,4040,3535,0.125
Monday,1,17,4063,3518,0.134
Monday,1,18,3034,2665,0.122
Monday,1,19,2950,2624,0.111
Monday,1,20,192,177,0.078
Monday,1,21,152,126,0.171
Monday,1,22,126,109,0.135
Monday,1,23,136,121,0.110
Tuesday,2,0,150,133,0.113
Tuesday,2,1,128,118,0.078
Tuesday,2,2,146,131,0.103
Tuesday,2,3,139,118,0.151
Tuesday,2,4,140,127,0.093
Tuesday,2,5,167,147,0.120
Tuesday,2,6,152,136,0.105
Tuesday,2,7,145,131,0.097
Tuesday,2,8,4110,3551,0.136
Tuesday,2,9,4134,3570,0.136
Tuesday,2,10,758,661,0.128
Tuesday,2,11,688,620,0.099
Tuesday,2,12,714,641,0.102
Tuesday,2,13,741,674,0.090
Tuesday,2,14,723,644,0.109
Tuesday,2,15,694,617,0.111
Tuesday,2,16,4015,3491,0.131
Tuesday,2,17,4081,3555,0.129
Tuesday,2,18,3084,2704,0.123
Tuesday,2,19,2986,2630,0.119
Tuesday,2,20,206,184,0.107
Tuesday,2,21,140,128,0.086
Tuesday,2,22,149,134,0.101
Tuesday,2,23,158,145,0.082
Wednesday,3,0,153,133,0.131
Wednesday,3,1,152,131,0.138
Wednesday,3,2,157,137,0.127
Wednesday,3,3,156,142,0.090
Wednesday,3,4,147,134,0.088
Wednesday,3,5,146,130,0.110
Wednesday,3,6,160,142,0.113
Wednesday,3,7,153,135,0.118
Wednesday,3,8,4118,3605,0.125
Wednesday,3,9,4069,3545,0.129
Wednesday,3,10,782,714,0.087
Wednesday,3,11,698,622,0.109
Wednesday,3,12,631,567,0.101
Wednesday,3,13,711,637,0.104
Wednesday,3,14,644,574,0.109
Wednesday,3,15,717,639,0.109
Wednesday,3,16,4026,3539,0.121
Wednesday,3,17,3987,3462,0.132
Wednesday,3,18,3027,2681,0.114
Wednesday,3,19,3026,2653,0.123
Wednesday,3,20,195,174,0.108
Wednesday,3,21,155,140,0.097
Wednesday,3,22,169,156,0.077
Wednesday,3,23,129,115,0.109
Thursday,4,0,142,128,0.099
Thursday,4,1,146,133,0.089
Thursday,4,2,133,116,0.128
Thursday,4,3,156,140,0.103
Thursday,4,4,145,132,0.090
Thursday,4,5,147,133,0.095
Thursday,4,6,132,118,0.106
Thursday,4,7,146,127,0.130
Thursday,4,8,4100,3606,0.120
Thursday,4,9,4120,3589,0.129
Thursday,4,10,801,713,0.110
Thursday,4,11,687,616,0.103
Thursday,4,12,707,630,0.109
Thursday,4,13,733,650,0.113
Thursday,4,14,703,641,0.088
Thursday,4,15,679,620,0.087
Thursday,4,16,4139,3575,0.136
Thursday,4,17,4137,3588,0.133
Thursday,4,18,2942,2614,0.111
Thursday,4,19,2957,2612,0.117
Thursday,4,20,214,188,0.121
Thursday,4,21,155,137,0.116
Thursday,4,22,159,142,0.107
Thursday,4,23,142,126,0.113
Friday,5,0,141,127,0.099
Friday,5,1,145,129,0.110
Friday,5,2,152,135,0.112
Friday,5,3,135,121,0.104
Friday,5,4,158,143,0.095
Friday,5,5,151,136,0.099
Friday,5,6,138,123,0.109
Friday,5,7,155,141,0.090
Friday,5,8,4139,3578,0.136
Friday,5,9,4097,3545,0.135
Friday,5,10,769,689,0.104
Friday,5,11,715,650,0.091
Friday,5,12,677,612,0.096
Friday,5,13,712,644,0.096
Friday,5,14,717,658,0.082
Friday,5,15,692,620,0.104
Friday,5,16,4041,3559,0.119
Friday,5,17,4042,3523,0.128
Friday,5,18,3070,2694,0.122
Friday,5,19,2937,2594,0.117
Friday,5,20,201,179,0.109
Friday,5,21,154,138,0.104
Friday,5,22,151,141,0.066
Friday,5,23,163,149,0.086
Saturday,6,0,137,126,0.080
Saturday,6,1,161,143,0.112
Saturday,6,2,152,133,0.125
Saturday,6,3,136,123,0.096
Saturday,6,4,164,147,0.104
Saturday,6,5,149,137,0.081
Saturday,6,6,135,126,0.067
Saturday,6,7,147,134,0.088
Saturday,6,8,4084,3586,0.122
Saturday,6,9,4070,3525,0.134
Saturday,6,10,805,737,0.084
Saturday,6,11,680,616,0.094
Saturday,6,12,732,649,0.113
Saturday,6,13,682,615,0.098
Saturday,6,14,707,638,0.098
Saturday,6,15,705,637,0.096
Saturday,6,16,4007,3497,0.127
Saturday,6,17,4012,3509,0.125
Saturday,6,18,3030,2659,0.122
Saturday,6,19,3020,2658,0.120
Saturday,6,20,222,203,0.086
Saturday,6,21,156,137,0.122
Saturday,6,22,129,119,0.078
Saturday,6,23,139,124,0.108
Sunday,7,0,131,117,0.107
Sunday,7,1,153,141,0.078
Sunday,7,2,146,132,0.096
Sunday,7,3,134,118,0.119
Sunday,7,4,140,126,0.100
Sunday,7,5,138,128,0.072
Sunday,7,6,134,119,0.112
Sunday,7,7,151,129,0.146
Sunday,7,8,4125,3594,0.129
Sunday,7,9,4128,3623,0.122
Sunday,7,10,810,735,0.093
Sunday,7,11,692,614,0.113
Sunday,7,12,722,637,0.118
Sunday,7,13,693,612,0.117
Sunday,7,14,760,682,0.103
Sunday,7,15,735,668,0.091
Sunday,7,16,3988,3511,0.120
Sunday,7,17,3993,3470,0.131
Sunday,7,18,3018,2649,0.122
Sunday,7,19,3064,2708,0.116
Sunday,7,20,207,185,0.106
Sunday,7,21,154,140,0.091
Sunday,7,22,139,125,0.101
Sunday,7,23,133,123,0.075
